"General","Algemeen"
"Enable easy tabs","Maak easy tabs mogelijk"
"Check items to add to the cart or","Check items om aan het winkelwagentje toe te voegen of"
"Add to Wishlist","Voeg toe aan het verlanglijstje"
"Review by %s","Beoordeling door %s"
"(Posted on %s)","(Geplaatst op %s)"
"Other people marked this product with these tags:","Andere mensen hebben dit product aangeduid met deze tags:"
"Add Your Tags:","Voeg je Tags toe:"
"Add Tags","VoegTags toe"
"Use spaces to separate tags. Use single quotes (') for phrases.","Gebruik spaties om tags te scheiden. Gebruik enkele aanhalingstekens voor(') zinnen. "
"Email to a Friend","Email naar een vriend"
