"General","Général"
"Enable easy tabs","Activer les flags simples"
"Check items to add to the cart or","Contrôler les objets à ajouter au panier ou"
"Add to Wishlist","Ajouter à la liste de souhaits"
"Review by %s","Evalué par %"
"(Posted on %s)","(Publié sur %)"
"Other people marked this product with these tags:","D'autres personnes ont identifié ce produit avec ces tags: "
"Add Your Tags:","Ajouter vos Tags:"
"Add Tags","Ajouter des Tags:"
"Use spaces to separate tags. Use single quotes (') for phrases.","Utiliser des espaces pour séparer les tags. Entrer une simple citation (') pour les phrases."
"Email to a Friend","Transmettre par courriel à un ami"
