"General","General"
"Enable easy tabs","Habilitar banderas fáciles "
"Check items to add to the cart or","Comprueba los artículos para añadirlos a la cesta o"
"Add to Wishlist","Agregar a la lista de peticiones"
"Review by %s","Revisado por % s"
"(Posted on %s)","(Publicado en% s)"
"Other people marked this product with these tags:","Otras personas marcaron este producto con las siguientes etiquetas:"
"Add Your Tags:","Agregar tus etiquetas:"
"Add Tags","Agregar etiquetas"
"Use spaces to separate tags. Use single quotes (') for phrases.","Utilizar espacios para separar las etiquetas. Usar comillas simples ( ') para frases."
"Email to a Friend","Enviar a un amigo"
